title,category,discipline,campus,eligibility,total,duration,exam,exam_intro
Ph.D. Computer Science & Engineering,Ph.D.,Computer Science & Engineering,Visakhapatnam,,,3-5 Years,,
Ph.D. Electronics & Communication,Ph.D.,Electronics & Communication,Visakhapatnam,,,3-5 Years,,
Ph.D. Mechanical Engineering,Ph.D.,Mechanical Engineering,Visakhapatnam,,,3-5 Years,,
Ph.D. Civil Engineering,Ph.D.,Civil Engineering,Visakhapatnam,,,3-5 Years,,
Ph.D. Electrical Engineering,Ph.D.,Electrical Engineering,Visakhapatnam,,,3-5 Years,,
Ph.D. Chemistry,Ph.D.,Chemistry,Visakhapatnam,,,3-5 Years,,
Ph.D. Physics,Ph.D.,Physics,Visakhapatnam,,,3-5 Years,,
Ph.D. Mathematics,Ph.D.,Mathematics,Visakhapatnam,,,3-5 Years,,
Ph.D. Biotechnology,Ph.D.,Biotechnology,Visakhapatnam,,,3-5 Years,,
Ph.D. Management,Ph.D.,Management,Visakhapatnam,,,3-5 Years,,
Ph.D. Commerce,Ph.D.,Commerce,Visakhapatnam,,,3-5 Years,,
Ph.D. Pharmacy,Ph.D.,Pharmacy,Visakhapatnam,,,3-5 Years,,
Ph.D. Pharmaceutical Sciences,Ph.D.,Pharmaceutical Sciences,Visakhapatnam,,,3-5 Years,,
Ph.D. Law,Ph.D.,Law,Visakhapatnam,,,3-5 Years,,
Ph.D. English,Ph.D.,English,Visakhapatnam,,,3-5 Years,,
Ph.D. Economics,Ph.D.,Economics,Visakhapatnam,,,3-5 Years,,
Ph.D. Political Science,Ph.D.,Political Science,Visakhapatnam,,,3-5 Years,,
